Pedigree,Treatment,Bench,Row,Column,Whole_Dry_weight_1,Whole_Dry_weight_2,Whole_Dry_weight_3,Pot_id
PI 533810,LN,1,10,1,0.1,0.1,0.2,1001
PI 656084,LN,1,9,1,0.1,0.1,0.1,1002
PI 534079,LN,1,8,1,0.2,0.1,0.3,1003
PI 655991,LN,1,7,1,0.1,0.1,0.1,1004
PI 534070,LN,1,6,1,0.1,0.1,0.1,1005
PI 656083,LN,1,5,1,0.2,0.2,NA,1006
PI 629059,LN,1,4,1,0.2,0.2,0.1,1007
PI 656006,LN,1,3,1,0.1,0.1,NA,1008
PI 576380,LN,1,2,1,0.3,NA,NA,1009
PI 533843,LN,1,1,1,0.1,0.1,0.1,1010
PI 533915,LN,1,10,2,0.2,0.4,0.1,1011
PI 576348,LN,1,9,2,0.1,0.1,0.1,1012
PI 656112,LN,1,8,2,0.2,0.2,0.2,1013
PI 534037,LN,1,7,2,0.1,0.1,0.1,1014
PI 656120,LN,1,6,2,0.2,0.4,0.4,1015
PI 655983,LN,1,5,2,0.2,0.2,0.1,1016
PI 533759,LN,1,4,2,0.2,0.2,0.1,1017
PI 655989,LN,1,3,2,0.1,0.1,0.1,1018
PI 564163,LN,1,2,2,0.1,0.2,0.1,1019
PI 656007,LN,1,1,2,0.1,0.1,0.1,1020
PI 656053,LN,1,10,3,0.1,0.2,0.2,1021
PI 533807,LN,1,9,3,0.1,0.1,0.1,1022
PI 595745,LN,1,8,3,0.1,0.1,0.1,1023
PI 656076,LN,1,7,3,0.3,0.1,NA,1024
PI 534097,LN,1,6,3,0.1,0.1,0.1,1025
PI 595702,LN,1,5,3,0.1,0.1,0.1,1026
PI 656110,LN,1,4,3,0.1,0.1,0.1,1027
PI 659693,LN,1,3,3,0.3,0.2,0.1,1028
PI 564163,LN,1,2,3,0.1,0.1,0.1,1029
PI 656107,LN,1,1,3,0.1,NA,NA,1030
PI 656049,LN,1,10,4,0.1,0.1,0.1,1031
PI 533876,LN,1,9,4,0.1,0.1,0.1,1032
PI 533927,LN,1,8,4,0.1,0.1,0.1,1033
PI 656092,LN,1,7,4,0.2,0.1,0.1,1034
PI 656075,LN,1,6,4,0.2,0.2,0.1,1035
PI 533996,LN,1,5,4,0.2,0.1,NA,1036
PI 533939,LN,1,4,4,0.1,0.1,0.1,1037
PI 659691,LN,1,3,4,0.1,0.1,0.1,1038
PI 656026,LN,1,2,4,0.1,0.1,NA,1039
PI 656088,LN,1,1,4,0.1,0.1,0.1,1040
PI 533831,LN,1,10,5,0.1,0.2,0.1,1041
PI 655973,LN,1,9,5,0.2,0.1,0.1,1042
PI 655998,LN,1,8,5,0.1,0.1,0.1,1043
PI 656106,LN,1,7,5,0.2,0.2,0.1,1044
PI 534157,LN,1,6,5,0.3,0.1,NA,1045
PI 533776,LN,1,5,5,0.1,NA,NA,1046
PI 641874,LN,1,4,5,0.2,0.2,0.1,1047
PI 656104,LN,1,3,5,0.1,0.1,0.1,1048
PI 656072,LN,1,2,5,0.1,0.1,0.1,1049
PI 533964,LN,1,1,5,0.1,0.1,0.1,1050
PI 656095,LN,1,10,6,0.1,0.3,0.2,1051
PI 533769,LN,1,9,6,0.1,0.2,0.1,1052
PI 533943,LN,1,8,6,0.1,0.2,0.2,1053
PI 533972,LN,1,7,6,0.1,0.3,0.3,1054
PI 656093,LN,1,6,6,0.1,0.1,0.1,1055
PI 609456,LN,1,5,6,0.1,0.1,0.1,1056
PI 533866,LN,1,4,6,0.1,0.2,0.1,1057
PI 655971,LN,1,2,6,0.3,0.2,0.1,1059
PI 656077,LN,1,10,7,0.2,0.2,0.3,1061
PI 595718,LN,1,9,7,0.1,0.1,0.1,1062
PI 655981,LN,1,8,7,0.1,0.1,0.1,1063
PI 533824,LN,1,7,7,0.1,0.3,NA,1064
PI 656091,LN,1,6,7,0.2,0.1,0.1,1065
PI 564163,LN,1,5,7,0.1,0.1,0.2,1066
PI 534132,LN,1,4,7,0.1,0.1,NA,1067
PI 534135,LN,1,3,7,0.1,0.1,0.1,1068
PI 533762,LN,1,2,7,0.2,NA,NA,1069
PI 656069,LN,1,1,7,0.2,0.1,0.1,1070
PI 276837,LN,1,10,8,0.1,0.1,0.1,1071
PI 533979,LN,1,9,8,0.2,0.1,0.1,1072
PI 533911,LN,1,8,8,0.1,0.1,0.1,1073
PI 533750,LN,1,7,8,0.3,0.1,NA,1074
PI 533752,LN,1,6,8,0.1,0.1,0.1,1075
PI 656119,LN,1,5,8,0.1,0.1,0.1,1076
PI 533949,LN,1,4,8,0.1,0.1,0.1,1077
PI 548797,LN,1,3,8,0.1,0.1,0.1,1078
PI 595720,LN,1,2,8,0.1,0.1,0.1,1079
PI 656043,LN,1,1,8,0.3,0.2,0.2,1080
PI 34911,LN,1,10,9,0.1,0.1,NA,1081
PI 655992,LN,1,9,9,0.1,0.1,NA,1082
PI 542718,LN,1,8,9,0.1,0.1,0.1,1083
PI 656062,LN,1,7,9,0.1,0.1,NA,1084
PI 576364,LN,1,6,9,0.1,0.1,0.1,1085
PI 642998,LN,1,5,9,0.2,0.1,0.1,1086
PI 533799,LN,1,4,9,0.3,0.1,NA,1087
PI 597980,LN,1,3,9,0.1,0.2,0.1,1088
PI 533986,LN,1,2,9,0.3,0.1,NA,1089
PI 597973,LN,1,1,9,0.1,0.3,0.2,1090
PI 533902,LN,1,10,10,0.1,0.1,0.1,1091
PI 597958,LN,1,9,10,0.1,0.1,0.1,1092
PI 655993,LN,1,8,10,0.1,0.1,0.1,1093
PI 564163,LN,1,7,10,0.1,0.1,0.1,1094
PI 656103,LN,1,6,10,0.1,0.1,0.1,1095
PI 576386,LN,1,5,10,0.2,0.2,0.1,1096
PI 576373,LN,1,4,10,0.1,0.1,0.1,1097
PI 533954,LN,1,2,10,0.2,0.1,0.1,1099
PI 597951,LN,1,1,10,0.1,0.1,0.1,1100
PI 534099,LN,1,10,11,0.4,NA,NA,1101
PI 597945,LN,1,9,11,0.3,0.2,0.2,1102
PI 655970,LN,1,8,11,0.3,0.3,NA,1103
PI 534075,LN,1,7,11,0.1,0.1,0.1,1104
PI 576130,LN,1,6,11,0.1,0.1,0.1,1105
PI 564163,LN,1,5,11,0.1,0.1,0.1,1106
PI 534101,LN,1,4,11,0.1,0.1,0.1,1107
PI 533937,LN,1,3,11,0.2,0.2,0.1,1108
PI 534092,LN,1,2,11,0.2,0.2,0.1,1109
PI 656087,LN,1,1,11,0.4,0.1,NA,1110
PI 659696,LN,1,10,12,0.1,0.1,0.3,1111
PI 533871,LN,1,9,12,0.2,0.1,0.3,1112
PI 533957,LN,1,8,12,0.3,0.2,0.3,1113
PI 656019,LN,1,7,12,0.3,0.3,0.1,1114
PI 655986,LN,1,6,12,0.4,0.3,NA,1115
PI 597946,LN,1,5,12,0.1,0.1,0.1,1116
PI 533910,LN,1,4,12,0.2,0.2,0.2,1117
PI 656028,LN,1,3,12,0.1,0.1,0.1,1118
PI 534046,LN,1,2,12,0.1,0.1,0.1,1119
PI 534054,LN,1,1,12,0.1,0.4,0.1,1120
PI 576375,LN,1,10,13,0.1,0.1,0.1,1121
PI 533976,LN,1,9,13,0.1,0.1,0.2,1122
PI 565121,LN,1,8,13,0.2,0.1,NA,1123
PI 656058,LN,1,7,13,0.1,0.1,NA,1124
PI 576352,LN,1,6,13,0.1,0.1,0.1,1125
PI 656055,LN,1,5,13,0.3,0.1,0.1,1126
PI 533980,LN,1,4,13,0.1,0.1,0.1,1127
PI 576359,LN,1,3,13,0.1,0.1,0.1,1128
PI 656033,LN,1,2,13,0.1,0.1,0.1,1129
PI 329440,LN,1,1,13,0.1,0.2,0.1,1130
PI 576426,LN,1,10,14,0.1,0.1,NA,1131
PI 533967,LN,1,9,14,0.1,0.1,0.1,1132
PI 533856,LN,1,8,14,0.2,0.2,0.1,1133
PI 656117,LN,1,7,14,0.2,0.1,NA,1134
PI 656094,LN,1,6,14,0.2,0.1,0.2,1135
PI 533970,LN,1,5,14,0.3,0.1,NA,1136
PI 576394,LN,1,4,14,0.2,0.1,0.1,1137
PI 533838,LN,1,3,14,0.1,0.2,NA,1138
PI 576345,LN,1,2,14,0.1,0.1,0.1,1139
PI 642791,LN,1,10,15,0.1,0.1,0.1,1141
PI 564163,LN,1,9,15,0.2,0.1,0.1,1142
PI 566819,LN,1,8,15,0.1,0.1,0.1,1143
PI 597966,LN,1,7,15,0.3,0.2,0.1,1144
PI 656089,LN,1,6,15,0.3,0.1,0.1,1145
PI 655999,LN,1,5,15,0.1,0.1,0.1,1146
PI 656102,LN,1,4,15,0.1,0.1,0.1,1147
PI 534009,LN,1,3,15,0.1,0.1,0.1,1148
PI 656031,LN,1,2,15,0.1,0.1,NA,1149
PI 656051,LN,1,1,15,0.1,0.2,0.1,1150
PI 597968,LN,1,10,16,0.2,0.1,0.1,1151
PI 576333,LN,1,9,16,0.2,0.2,0.2,1152
PI 607931,LN,1,8,16,0.3,0.2,0.2,1153
PI 534155,LN,1,7,16,0.3,0.2,NA,1154
PI 656098,LN,1,6,16,0.2,0.3,0.2,1155
PI 576385,LN,1,5,16,0.1,0.1,0.1,1156
PI 533921,LN,1,4,16,0.1,NA,NA,1157
PI 533989,LN,1,2,16,0.1,0.1,0.1,1159
PI 655988,LN,1,1,16,0.1,0.1,0.2,1160
PI 564163,LN,1,10,17,0.2,0.2,0.1,1161
PI 656109,LN,1,9,17,0.2,0.2,0.2,1162
PI 576428,LN,1,8,17,0.5,0.2,0.3,1163
PI 655997,LN,1,7,17,0.4,0.1,0.3,1164
PI 656080,LN,1,6,17,0.1,0.1,0.1,1165
PI 534124,LN,1,5,17,0.3,0.3,NA,1166
PI 533998,LN,1,4,17,0.1,0.1,0.2,1167
PI 533878,LN,1,3,17,0.1,0.2,0.1,1168
PI 656044,LN,1,2,17,0.1,0.2,NA,1169
PI 641824,LN,1,1,17,0.2,0.1,0.1,1170
PI 655979,LN,1,10,18,0.3,NA,NA,1171
PI 656047,LN,1,9,18,0.2,0.2,0.2,1172
PI 533761,LN,1,8,18,0.1,0.2,0.2,1173
PI 533852,LN,1,7,18,0.2,0.2,0.2,1174
PI 656108,LN,1,6,18,0.5,0.3,NA,1175
PI 533766,LN,1,5,18,0.1,0.1,0.1,1176
PI 533785,LN,1,4,18,0.1,0.1,0.1,1177
PI 656068,LN,1,3,18,0.3,0.1,0.1,1178
PI 656024,LN,1,2,18,0.1,0.1,0.1,1179
PI 534105,LN,1,1,18,0.2,0.2,0.2,1180
PI 659753,LN,2,20,1,0.1,0.1,0.2,1181
PI 576425,LN,2,19,1,0.3,0.4,0.3,1182
PI 534117,LN,2,18,1,0.1,0.3,0.4,1183
PI 564163,LN,2,17,1,0.1,0.1,0.1,1184
PI 656018,LN,2,16,1,0.1,0.1,0.1,1185
PI 533985,LN,2,15,1,0.2,0.1,0.3,1186
PI 656096,LN,2,14,1,0.1,0.2,0.1,1187
PI 17548,LN,2,13,1,0.2,0.2,0.3,1188
PI 656105,LN,2,12,1,0.2,0.3,0.1,1189
PI 533757,LN,2,11,1,0.1,0.2,0.1,1190
PI 533987,LN,2,20,2,0.2,0.1,0.1,1191
PI 534104,LN,2,19,2,0.1,0.3,NA,1192
PI 533936,LN,2,18,2,0.1,0.1,0.1,1193
PI 597961,LN,2,17,2,0.2,0.1,0.3,1194
PI 35038,LN,2,16,2,0.1,0.1,0.1,1195
PI 533877,LN,2,15,2,0.1,0.3,0.1,1196
PI 533855,LN,2,14,2,0.2,0.2,0.1,1197
PI 533839,LN,2,13,2,0.1,0.1,0.1,1198
PI 656046,LN,2,12,2,0.1,0.2,0.2,1199
PI 576339,LN,2,11,2,0.1,0.2,0.1,1200
PI 534053,LN,2,20,3,0.1,0.1,NA,1201
PI 613536,LN,2,19,3,0.1,0.1,NA,1202
PI 564164,LN,2,18,3,0.1,0.1,0.1,1203
PI 655984,LN,2,17,3,0.1,0.1,0.1,1204
PI 533754,LN,2,16,3,0.1,0.1,0.1,1205
PI 656061,LN,2,15,3,0.3,0.1,0.1,1206
PI 534137,LN,2,14,3,0.2,0.1,0.2,1207
PI 564163,LN,2,13,3,0.1,0.2,0.1,1208
PI 656002,LN,2,12,3,0.2,0.2,0.1,1209
PI 533924,LN,2,11,3,0.1,0.1,0.1,1210
PI 533863,LN,2,20,4,0.1,0.1,0.1,1211
PI 656057,LN,2,19,4,0.1,0.1,0.1,1212
PI 595741,LN,2,18,4,0.2,0.3,0.3,1213
PI 576376,LN,2,17,4,0.1,0.1,0.1,1214
PI 533822,LN,2,16,4,0.2,0.1,0.1,1215
PI 656023,LN,2,15,4,0.3,0.1,0.2,1216
PI 533903,LN,2,14,4,0.3,0.2,0.1,1217
PI 655995,LN,2,13,4,0.3,0.3,0.2,1218
PI 533800,LN,2,12,4,0.1,0.1,0.1,1219
PI 629040,LN,2,11,4,0.2,0.2,NA,1220
PI 597952,LN,2,20,5,0.1,0.1,0.2,1221
PI 595744,LN,2,19,5,0.3,0.2,0.3,1222
PI 656118,LN,2,18,5,0.2,0.2,0.2,1223
PI 656078,LN,2,17,5,0.4,0.1,NA,1224
PI 533965,LN,2,16,5,0.1,0.1,0.1,1225
PI 656052,LN,2,15,5,0.2,0.1,0.1,1226
PI 564163,LN,2,14,5,0.1,0.1,0.1,1227
PI 597982,LN,2,13,5,0.1,0.2,0.1,1228
PI 533758,LN,2,12,5,0.2,0.1,0.2,1229
PI 534114,LN,2,11,5,0.2,0.1,0.2,1230
PI 595699,LN,2,20,6,0.2,0.1,0.2,1231
PI 655994,LN,2,19,6,0.2,0.2,0.1,1232
PI 656039,LN,2,18,6,0.1,0.2,0.2,1233
PI 659695,LN,2,17,6,0.3,0.1,0.1,1234
PI 534123,LN,2,16,6,0.4,0.1,NA,1235
PI 533789,LN,2,15,6,0.1,0.1,0.1,1236
PI 533792,LN,2,14,6,0.4,0.2,0.2,1237
PI 656056,LN,2,13,6,0.2,0.1,0.1,1238
PI 656073,LN,2,12,6,0.3,0.1,0.2,1239
PI 534163,LN,2,11,6,0.3,0.3,0.2,1240
PI 597950,LN,2,20,7,0.1,0.1,0.1,1241
PI 655985,LN,2,19,7,0.2,0.2,0.1,1242
PI 534148,LN,2,18,7,0.2,0.1,0.2,1243
PI 534139,LN,2,17,7,0.2,0.1,0.1,1244
PI 656059,LN,2,16,7,0.1,0.1,0.1,1245
PI 533901,LN,2,15,7,0.1,0.1,0.1,1246
PI 534145,LN,2,14,7,0.1,0.3,0.2,1247
PI 576434,LN,2,13,7,0.1,NA,NA,1248
PI 656001,LN,2,12,7,0.1,0.1,0.1,1249
PI 656099,LN,2,11,7,0.1,0.2,0.1,1250
PI 655982,LN,2,20,8,0.1,0.1,0.1,1251
PI 656034,LN,2,19,8,0.1,0.1,0.2,1252
PI 595714,LN,2,18,8,0.1,0.1,0.2,1253
PI 656038,LN,2,17,8,0.1,0.1,0.1,1254
PI 534108,LN,2,16,8,0.1,0.1,0.1,1255
PI 597964,LN,2,15,8,0.1,0.2,0.1,1256
PI 533997,LN,2,14,8,0.1,0.1,0.1,1257
PI 597976,LN,2,13,8,0.1,0.2,0.1,1258
PI 564163,LN,2,12,8,0.1,0.1,0.1,1259
PI 597972,LN,2,11,8,0.2,0.2,0.2,1260
PI 641836,LN,2,20,9,0.1,0.1,0.1,1261
PI 534127,LN,2,19,9,0.1,0.1,0.1,1262
PI 533788,LN,2,18,9,0.4,NA,NA,1263
PI 651496,LN,2,17,9,0.1,0.1,0.1,1264
PI 656113,LN,2,16,9,0.1,0.2,0.1,1265
PI 653617,LN,2,15,9,0.1,0.2,0.1,1266
PI 656090,LN,2,14,9,0.1,0.1,0.1,1267
PI 656081,LN,2,13,9,0.1,0.1,NA,1268
PI 655987,LN,2,12,9,0.2,0.2,0.2,1269
PI 564165,LN,2,11,9,0.1,0.3,0.2,1270
PI 641849,LN,2,20,10,0.2,0.1,NA,1271
PI 564163,LN,2,19,10,0.2,0.1,0.2,1272
PI 597965,LN,2,18,10,0.1,0.1,0.2,1273
PI 561472,LN,2,17,10,0.2,0.1,0.1,1274
PI 598070,LN,2,16,10,0.3,0.1,0.1,1275
PI 533833,LN,2,15,10,0.2,0.2,0.1,1276
PI 533938,LN,2,14,10,0.1,0.1,0.2,1277
PI 534112,LN,2,13,10,0.2,0.1,0.2,1278
PI 533962,LN,2,12,10,0.1,0.1,0.1,1279
PI 576390,LN,2,11,10,0.1,0.1,0.1,1280
PI 655972,LN,2,20,11,0.1,0.2,0.2,1281
PI 656041,LN,2,19,11,0.1,0.2,0.1,1282
PI 576396,LN,2,18,11,0.2,0.2,0.2,1283
PI 533830,LN,2,17,11,0.1,0.1,0.1,1284
PI 561071,LN,2,16,11,0.1,0.1,0.1,1285
PI 561073,LN,2,15,11,0.3,NA,NA,1286
PI 533845,LN,2,14,11,0.3,0.2,0.3,1287
PI 656015,LN,2,13,11,0.4,0.3,0.1,1288
PI 534133,LN,2,12,11,0.1,0.2,0.3,1289
PI 576340,LN,2,11,11,0.1,0.1,0.1,1290
PI 656071,LN,2,20,12,0.1,0.1,0.1,1291
PI 533961,LN,2,19,12,0.1,0.3,0.1,1292
PI 24969,LN,2,18,12,0.2,0.1,0.1,1293
PI 564163,LN,2,17,12,0.1,0.1,NA,1294
PI 533841,LN,2,16,12,0.1,0.1,0.1,1295
PI 533760,LN,2,15,12,0.1,0.1,NA,1296
PI 533869,LN,2,14,12,0.2,0.3,0.2,1297
PI 655974,LN,2,13,12,0.1,0.2,0.2,1298
PI 656029,LN,2,12,12,0.1,0.2,0.1,1299
PI 655990,LN,2,11,12,0.2,0.1,0.2,1300
PI 656008,LN,2,20,13,0.2,NA,NA,1301
PI 534144,LN,2,19,13,0.3,0.3,0.4,1302
PI 534167,LN,2,18,13,0.1,0.1,0.1,1303
PI 656085,LN,2,17,13,0.1,0.1,0.1,1304
PI 655977,LN,2,16,13,0.1,0.1,0.1,1305
PI 534047,LN,2,15,13,0.1,0.2,0.2,1306
PI 595743,LN,2,14,13,0.1,0.2,0.1,1307
PI 656020,LN,2,13,13,0.1,0.1,0.1,1308
PI 533794,LN,2,12,13,0.1,0.1,0.1,1309
PI 574455,LN,2,11,13,0.2,0.2,0.1,1310
PI 534116,LN,2,20,14,0.2,0.1,0.3,1311
PI 576332,LN,2,19,14,0.4,0.2,0.3,1312
PI 656070,LN,2,18,14,0.3,0.3,0.2,1313
PI 533948,LN,2,17,14,0.3,0.2,0.3,1314
PI 656111,LN,2,16,14,0.3,0.3,0.3,1315
PI 576347,LN,2,15,14,0.1,0.1,0.1,1316
PI 656036,LN,2,14,14,0.1,0.1,0.1,1317
PI 655980,LN,2,13,14,0.1,0.1,0.1,1318
PI 655976,LN,2,12,14,0.2,0.1,0.1,1319
PI 576393,LN,2,11,14,0.1,0.1,0.1,1320
PI 533919,LN,2,20,15,0.3,0.2,0.3,1321
PI 656079,LN,2,19,15,0.3,0.3,0.2,1322
PI 534096,LN,2,18,15,0.2,0.2,NA,1323
PI 564163,LN,2,17,15,0.2,0.2,0.2,1324
PI 576337,LN,2,16,15,0.1,0.1,0.1,1325
PI 48770,LN,2,15,15,0.1,0.1,0.1,1326
PI 533912,LN,2,14,15,0.1,0.1,0.3,1327
PI 656025,LN,2,13,15,0.2,0.3,0.1,1328
PI 561072,LN,2,12,15,0.1,0.1,0.1,1329
PI 597971,LN,2,11,15,0.3,0.1,0.1,1330
PI 597960,LN,2,20,16,0.1,0.3,0.1,1331
PI 595739,LN,2,19,16,0.3,0.1,NA,1332
PI 656022,LN,2,18,16,0.2,0.3,0.3,1333
PI 656097,LN,2,17,16,0.1,0.1,0.1,1334
PI 655975,LN,2,16,16,0.2,0.3,0.3,1335
PI 534128,LN,2,15,16,0.3,0.3,0.3,1336
PI 656037,LN,2,14,16,0.3,0.2,0.2,1337
PI 656086,LN,2,13,16,0.5,NA,NA,1338
PI 533955,LN,2,12,16,0.1,0.1,0.3,1339
PI 656121,LN,2,11,16,0.3,0.2,0.1,1340
PI 533940,LN,2,20,17,0.3,0.1,0.1,1341
PI 656082,LN,2,19,17,0.3,0.2,0.1,1342
PI 534063,LN,2,18,17,0.3,0.2,0.4,1343
PI 533991,LN,2,17,17,0.4,0.2,0.3,1344
PI 601816,LN,2,16,17,0.4,0.3,0.5,1345
PI 595740,LN,2,15,17,0.1,0.2,0.1,1346
PI 534028,LN,2,14,17,0.3,0.2,0.2,1347
PI 152651,LN,2,13,17,0.3,0.3,0.4,1348
PI 576381,LN,2,12,17,0.3,0.3,0.3,1349
PI 656004,LN,2,11,17,0.9,NA,NA,1350
PI 552856,LN,2,20,18,0.3,0.2,0.2,1351
PI 656010,LN,2,19,18,0.1,0.1,NA,1352
PI 534021,LN,2,18,18,0.2,0.2,0.3,1353
PI 533821,LN,2,17,18,0.6,NA,NA,1354
PI 656101,LN,2,16,18,0.3,0.3,0.3,1355
