Pedigree,Treatment,Bench,Row,Column,Whole_Fresh_1,Whole_Fresh_2,Whole_Fresh_3,Pot_id
PI 576380,LN,1,2,1,2.4,NA,NA,1009
PI 533788,LN,1,18,9,2.4,NA,NA,1263
PI 533824,HN,2,21,10,2.5,4.5,7.6,2100
PI 656086,LN,1,13,16,2.6,NA,NA,1338
PI 533821,LN,1,17,18,2.6,NA,NA,1354
PI 533876,HN,2,28,9,2.6,4.8,3,2083
PI 656104,HN,2,31,13,2.6,5.6,6.2,2310
PI 656078,LN,1,17,5,2.7,0.8,NA,1224
PI 656080,HN,2,21,17,2.8,5.1,5.2,2170
PI 656051,HN,2,33,9,2.8,NA,NA,2268
PI 595702,HN,2,25,9,2.9,5.1,5.6,2086
PI 564163,HN,2,25,16,2.9,6.4,NA,2156
PI 576399,HN,2,36,11,3,5.3,7.5,2285
PI 655999,HN,2,36,3,3.1,3.4,3.8,2205
PI 656020,HN,2,25,11,3.25,8.77,7.24,2106
PI 656022,HN,2,29,11,3.3,5.6,6.7,2102
PI 17548,HN,2,40,6,3.3,3.5,4.4,2231
PI 656069,HN,2,25,5,3.4,4.2,5.9,2046
PI 533939,HN,2,25,13,3.4,5.8,6,2126
PI 533927,HN,2,27,9,3.7,6.6,8,2084
PI 655987,HN,2,27,10,3.7,6.1,3.1,2094
PI 597968,HN,2,27,11,3.7,7.3,6.4,2104
PI 656004,LN,1,11,17,3.8,NA,NA,1350
PI 533757,HN,2,38,3,3.8,2.2,3.1,2203
PI 655974,HN,2,39,5,3.8,5,6.8,2222
PI 656103,HN,2,32,6,3.8,3.1,6.1,2239
PI 533831,HN,2,33,7,3.8,4.1,3.7,2248
PI 533843,HN,2,37,9,3.8,4,5.2,2264
PI 656079,HN,2,36,9,3.8,5.4,3.2,2265
PI 533940,HN,2,39,10,3.8,5.5,6.6,2272
PI 655991,HN,2,36,13,3.8,7.8,5.8,2305
PI 533979,HN,2,25,3,3.9,7.2,7.1,2026
PI 533807,HN,2,30,7,3.9,5.1,6.1,2061
PI 576364,HN,2,25,12,3.95,3.11,4.14,2116
PI 597961,HN,2,21,8,4,6,2,2080
PI 534028,HN,2,26,12,4,4.9,5.2,2115
PI 576390,HN,2,26,17,4,5.9,3,2165
PI 576339,HN,2,21,12,4.06,5.61,4.95,2120
PI 534148,HN,2,26,9,4.1,2.9,3.8,2085
PI 656111,HN,2,30,11,4.1,8.2,6.4,2101
PI 656097,HN,2,35,1,4.1,10.2,7.9,2186
PI 655972,HN,2,32,1,4.1,6.9,5.3,2189
PI 564163,HN,2,33,3,4.1,6.6,2.7,2208
PI 656023,HN,2,21,1,4.2,6,7.7,2010
PI 576375,HN,2,36,6,4.2,8.6,NA,2235
PI 534047,HN,2,31,6,4.3,5.1,8.9,2240
PI 576340,HN,2,31,7,4.3,6.1,2.9,2250
PI 576425,HN,2,39,8,4.3,5.8,6.8,2252
PI 597965,HN,2,27,7,4.4,6.7,8.2,2064
PI 533855,HN,2,28,12,4.4,10.7,9.9,2113
PI 597946,HN,2,40,7,4.4,4.3,2.2,2241
PI 561071,HN,2,39,11,4.4,3.1,4.2,2282
PI 533878,HN,2,30,5,4.5,10.1,NA,2041
PI 564163,HN,2,27,5,4.5,6,5.1,2044
PI 595718,HN,2,22,10,4.5,7.1,6.2,2099
PI 533991,HN,2,31,2,4.5,9.2,9.2,2200
PI 533838,HN,2,37,7,4.5,3.2,3.3,2244
PI 595741,HN,2,40,12,4.5,5.4,5.2,2291
PI 656099,HN,2,29,7,4.6,5.4,2.9,2062
PI 576434,HN,2,24,7,4.6,12.9,15.1,2067
PI 487701,HN,2,28,11,4.6,4.1,6.3,2103
PI 534112,HN,2,23,11,4.6,4.42,4.67,2108
PI 534053,HN,2,27,12,4.6,10.8,NA,2114
PI 655982,HN,2,27,13,4.6,12.4,3.3,2124
PI 533814,HN,2,35,6,4.6,6.4,7.3,2236
PI 597966,HN,2,39,7,4.6,7,NA,2242
PI 533758,HN,2,37,14,4.6,10.2,6.9,2314
PI 598070,HN,2,24,6,4.7,3.8,1.3,2057
PI 576332,HN,2,23,8,4.7,6.1,7.5,2078
PI 576381,HN,2,21,14,4.7,11.5,9.2,2140
PI 533822,HN,2,39,3,4.7,7.6,3.8,2202
PI 576333,HN,2,32,4,4.7,6.8,3.4,2219
PI 564163,HN,2,38,12,4.7,5.7,8,2293
PI 656081,HN,2,33,13,4.7,7.4,5.9,2308
PI 576385,HN,2,23,18,4.8,8,6.3,2178
PI 533766,HN,2,34,7,4.8,3.3,2.9,2247
PI 656098,HN,2,29,3,4.9,4,4.5,2022
PI 533937,HN,2,21,13,4.9,9.4,9.1,2130
PI 564163,HN,2,25,14,4.9,5.5,5.7,2136
PI 533762,HN,2,37,2,4.9,5.4,4.6,2194
PI 534097,HN,2,32,2,4.9,4.2,NA,2199
PI 595699,HN,2,31,3,4.9,3.1,6.6,2210
PI 656082,HN,2,39,6,4.9,4.2,5.7,2232
PI 533830,HN,2,38,8,4.9,5.8,4.3,2253
PI 576359,HN,2,40,9,4.9,6.1,4.8,2261
PI 534037,HN,2,39,9,4.9,9,7.6,2262
PI 641836,HN,2,26,5,5,4.4,5.8,2045
PI 534163,HN,2,22,18,5,12.5,NA,2179
PI 656047,HN,2,38,2,5,5.8,5.9,2193
PI 641824,HN,2,37,5,5,5.4,2.7,2224
PI 576428,HN,2,24,11,5.01,3.62,12.14,2107
PI 534046,HN,2,29,1,5.1,6.8,5,2002
PI 656029,HN,2,25,2,5.1,9.5,9.3,2016
PI 595714,HN,2,40,1,5.1,6.2,6.4,2181
PI 595743,HN,2,38,7,5.1,5.4,6,2243
PI 601816,HN,2,40,11,5.1,5.2,6,2281
PI 656101,HN,2,37,6,5.2,4.9,4.1,2234
PI 533903,HN,2,36,7,5.2,4.3,4.9,2245
PI 534145,HN,2,32,7,5.2,4.6,6.3,2249
PI 576345,HN,2,24,10,5.3,7.1,4.2,2097
PI 597971,HN,2,25,15,5.3,6.3,3.2,2146
PI 659696,HN,2,23,15,5.3,5.6,5.6,2148
PI 576130,HN,2,38,1,5.3,5.1,4.9,2183
PI 595740,HN,2,39,2,5.3,5.4,3.4,2192
PI 533987,HN,2,36,2,5.3,10.9,4.8,2195
PI 533998,HN,2,28,1,5.4,6,4.9,2003
PI 565121,HN,2,37,11,5.4,3.3,3.3,2284
PI 659693,HN,2,21,3,5.5,3.6,4.8,2030
PI 656078,HN,2,23,9,5.5,4,4.8,2088
PI 533776,HN,2,22,15,5.5,9.6,11.3,2149
PI 533869,HN,2,25,17,5.5,6.6,NA,2166
PI 533852,HN,2,23,17,5.5,5.4,4.9,2168
PI 656060,HN,2,27,3,5.59,4.3,4,2024
PI 656119,HN,2,26,6,5.6,3.8,5.6,2055
PI 564163,HN,2,26,8,5.6,7,4.6,2075
PI 597945,HN,2,29,9,5.6,6.4,NA,2082
PI 656006,HN,2,25,10,5.6,4.1,NA,2096
PI 656019,HN,2,37,4,5.6,4.2,7.9,2214
PI 576337,HN,2,26,2,5.7,5.2,10,2015
PI 655988,HN,2,32,5,5.7,8.6,4.2,2229
PI 656112,HN,2,26,1,5.9,4.3,9.6,2005
PI 533997,HN,2,29,2,5.9,7.4,5.2,2012
PI 534096,HN,2,23,4,5.9,6.6,7.6,2038
PI 656088,HN,2,40,3,5.9,11.4,7,2201
PI 656095,HN,2,32,3,5.9,8.9,7.6,2209
PI 576352,HN,2,38,5,5.9,2.9,4.3,2223
PI 655976,HN,2,31,11,5.9,6.9,8.4,2290
PI 656102,HN,2,27,6,6,8.8,5.6,2054
PI 533750,HN,2,24,14,6,3.8,4.9,2137
PI 656046,HN,2,39,1,6,5.7,7.3,2182
PI 576386,HN,2,36,1,6,NA,NA,2185
PI 595720,HN,2,38,18,6,7.9,8.2,2353
PI 656087,HN,2,29,12,6.1,7.2,5,2112
PI 656037,HN,2,34,3,6.2,7.8,NA,2207
PI 656055,HN,2,34,5,6.2,12.5,NA,2227
PI 576396,HN,2,24,15,6.3,5.3,2.6,2147
PI 533866,HN,2,34,1,6.3,5,5.3,2187
PI 534127,HN,2,34,6,6.3,5.4,5.2,2237
PI 534144,HN,2,34,9,6.3,9.4,4.7,2267
PI 533789,HN,2,38,14,6.3,11.1,9.2,2313
PI 533901,HN,2,39,17,6.3,8.4,9,2342
PI 656028,HN,2,29,5,6.4,5.7,2.9,2042
PI 656120,HN,2,24,5,6.4,5.8,4.3,2047
PI 533911,HN,2,26,7,6.4,3.4,4.6,2065
PI 561072,HN,2,26,14,6.4,3.1,5.3,2135
PI 656077,HN,2,34,2,6.4,7.6,3.8,2197
PI 152651,HN,2,22,4,6.5,7.7,7.9,2039
PI 656109,HN,2,25,8,6.5,8.7,6,2076
PI 564163,HN,2,22,11,6.5,5.73,4.97,2109
PI 656106,HN,2,37,10,6.5,8.9,6.7,2274
PI 656085,HN,2,34,17,6.5,19.8,13.8,2347
PI 655993,HN,2,37,8,6.6,8.5,2.8,2254
PI 533943,HN,2,21,11,6.67,7.16,5.24,2110
PI 534117,HN,2,27,2,6.7,9.6,10.9,2014
PI 534114,HN,2,22,5,6.7,8.4,8.2,2049
PI 533954,HN,2,35,2,6.7,9.5,11.5,2196
PI 576422,HN,2,36,5,6.7,4.2,NA,2225
PI 642791,HN,2,36,14,6.7,7.1,5.3,2315
PI 655989,HN,2,31,17,6.7,15,10,2350
PI 576348,HN,2,21,6,6.8,5.9,5.9,2060
PI 533794,HN,2,26,13,6.8,11,2.8,2125
PI 534070,HN,2,36,4,6.8,7.3,5.2,2215
PI 656089,HN,2,38,6,6.8,8.7,NA,2233
PI 548797,HN,2,34,10,6.8,3.7,4.4,2277
PI 656034,HN,2,37,13,6.8,6.3,5.9,2304
PI 609456,HN,2,27,1,6.9,4.7,5.7,2004
PI 534101,HN,2,24,1,6.9,8,5.9,2007
PI 629034,HN,2,23,3,6.9,5.3,NA,2028
PI 656058,HN,2,28,5,6.9,10.7,11.8,2043
PI 534123,HN,2,27,14,6.9,4.4,6.5,2134
PI 655990,HN,2,24,17,6.9,3.8,NA,2167
PI 534155,HN,2,40,2,6.9,NA,NA,2191
PI 656053,HN,2,34,8,6.9,11.7,6.9,2257
PI 533863,HN,2,33,11,6.9,6.3,7.3,2288
PI 533800,HN,2,31,16,6.9,12.7,6.6,2340
PI 533769,HN,2,30,3,7,5.3,3.1,2021
PI 534075,HN,2,25,18,7,5.9,5.6,2176
PI 564163,HN,2,40,5,7,4.7,5.2,2221
PI 534133,HN,2,36,12,7,8.4,5.5,2295
PI 659694,HN,2,39,13,7,9.6,NA,2302
PI 597980,HN,2,37,1,7.1,6.2,6,2184
PI 329440,HN,2,33,10,7.1,12.8,NA,2278
PI 656105,HN,2,24,3,7.2,6.9,5.3,2027
PI 534137,HN,2,28,4,7.2,5.1,8.2,2033
PI 655970,HN,2,30,8,7.2,4.9,5.4,2071
PI 534099,HN,2,29,10,7.2,NA,NA,2092
PI 656076,HN,2,38,4,7.2,5.3,NA,2213
PI 534124,HN,2,39,12,7.2,NA,NA,2292
PI 597958,HN,2,39,14,7.2,10.6,9.5,2312
PI 533964,HN,2,24,4,7.3,5,4.9,2037
PI 656052,HN,2,30,9,7.3,6.5,7.9,2081
PI 564163,HN,2,35,10,7.3,8.8,8.2,2276
PI 533989,HN,2,39,16,7.3,5,13.1,2332
PI 534108,HN,2,29,8,7.4,7.5,6.3,2072
PI 533970,HN,2,24,18,7.4,7.6,3.6,2177
PI 629059,HN,2,22,6,7.5,5.6,8,2059
PI 533752,HN,2,27,8,7.5,6.9,5.1,2074
PI 656121,HN,2,40,8,7.5,6.7,2.5,2251
PI 656083,HN,2,23,6,7.6,6.8,5.1,2058
PI 576426,HN,2,23,10,7.6,NA,NA,2098
PI 656094,HN,2,40,18,7.6,11.7,7.1,2351
PI 561073,HN,2,30,6,7.7,7.3,8.1,2051
PI 655992,HN,2,38,17,7.7,12.9,6.9,2343
PI 24969,HN,2,39,18,7.7,12.8,13.9,2352
PI 656002,HN,2,38,9,7.8,6.5,3.4,2263
PI 534021,HN,2,32,11,7.8,NA,NA,2289
PI 656059,HN,2,30,13,7.9,1.5,13.6,2121
PI 533996,HN,2,33,5,7.9,3.5,2.9,2228
PI 641874,HN,2,34,13,7.9,13.1,15,2307
PI 564163,HN,2,33,14,7.9,8.2,10.9,2318
PI 655981,HN,2,23,1,8,8.8,9.3,2008
PI 656072,HN,2,25,7,8,7.7,8.2,2066
PI 656061,HN,2,21,15,8,17.8,NA,2150
PI 534116,HN,2,35,5,8,6.7,NA,2226
PI 659695,HN,2,40,10,8,6.6,6.5,2271
PI 576376,HN,2,25,4,8.1,8.2,NA,2036
PI 542718,HN,2,26,16,8.1,8.3,10.7,2155
PI 656057,HN,2,31,4,8.1,7.4,6.6,2220
PI 655997,HN,2,33,16,8.1,10.2,19.4,2338
PI 533915,HN,2,28,3,8.2,7.1,5.4,2023
PI 533788,HN,2,25,6,8.2,5.7,8.8,2056
PI 533877,HN,2,28,10,8.2,6.2,8.1,2093
PI 533955,HN,2,31,9,8.2,8.3,5.9,2270
PI 659691,HN,2,32,10,8.2,6.1,8.7,2279
PI 534092,HN,2,40,16,8.2,15.4,NA,2331
PI 597972,HN,2,34,4,8.3,5.4,5.9,2217
PI 534132,HN,2,35,7,8.3,11.1,NA,2246
PI 533759,HN,2,36,17,8.3,9.5,11.4,2345
PI 655980,HN,2,22,16,8.4,7.1,7.6,2159
PI 656113,HN,2,38,11,8.4,2.1,4.3,2283
PI 534054,HN,2,36,15,8.4,7.5,12.5,2325
PI 35038,HN,2,28,2,8.5,9.3,NA,2013
PI 533919,HN,2,23,16,8.5,5.9,NA,2158
PI 655983,HN,2,29,13,8.6,6.2,9,2122
PI 564163,HN,2,33,8,8.6,8.1,5.2,2258
PI 597960,HN,2,40,14,8.6,9.8,2.6,2311
PI 534139,HN,2,30,2,8.7,6,7.4,2011
PI 533967,HN,2,31,14,8.7,6.8,8.9,2320
PI 656036,HN,2,32,9,8.8,6.9,2.7,2269
PI 656092,HN,2,40,13,8.8,9.5,NA,2301
PI 564163,HN,2,21,5,8.9,9.2,7.4,2050
PI 534104,HN,2,22,9,8.9,8.3,4.1,2089
PI 656071,HN,2,30,12,8.9,8.2,8.8,2111
PI 656044,HN,2,22,14,8.9,4.2,7,2139
PI 656070,HN,2,33,4,8.9,7.1,2.2,2218
PI 656075,HN,2,38,16,8.9,11.6,12.8,2333
PI 564163,HN,2,22,1,9,12.6,NA,2009
PI 607931,HN,2,22,8,9,9.1,7.4,2079
PI 533976,HN,2,28,6,9.1,2.6,5.6,2053
PI 595744,HN,2,40,4,9.1,8.8,NA,2211
PI 576394,HN,2,32,18,9.1,12.3,6.2,2359
PI 533833,HN,2,24,9,9.2,7.9,8.8,2087
PI 642998,HN,2,33,2,9.2,5.4,12.1,2198
PI 533924,HN,2,33,6,9.2,3.9,NA,2238
PI 655975,HN,2,40,17,9.2,9.8,14.3,2341
PI 597976,HN,2,23,12,9.26,3.28,4.54,2118
PI 656009,HN,2,21,7,9.3,8.9,NA,2070
PI 656024,HN,2,23,13,9.4,6.7,5.8,2128
PI 533910,HN,2,39,15,9.4,6.2,11.1,2322
PI 656086,HN,2,37,16,9.4,11,8.8,2334
PI 534135,HN,2,24,2,9.5,8.9,NA,2017
PI 655994,HN,2,28,8,9.5,6.7,6.2,2073
PI 655971,HN,2,29,16,9.5,10.2,10.6,2152
PI 656068,HN,2,37,3,9.5,8,5.4,2204
PI 34911,HN,2,31,10,9.5,6.1,NA,2280
PI 574455,HN,2,35,11,9.5,12.2,2.6,2286
PI 561472,HN,2,25,1,9.6,6.8,4.5,2006
PI 641849,HN,2,35,8,9.6,12.7,6.8,2256
PI 613536,HN,2,28,13,9.7,NA,NA,2123
PI 533856,HN,2,31,5,9.7,9.8,NA,2230
PI 533845,HN,2,30,14,9.8,8.1,3.3,2131
PI 656118,HN,2,28,16,9.8,10.3,8.4,2153
PI 656038,HN,2,28,18,9.8,5.6,9.4,2173
PI 534079,HN,2,26,11,9.9,3.3,7.7,2105
PI 597982,HN,2,36,10,9.9,NA,NA,2275
PI 534063,HN,2,38,13,9.9,9.4,NA,2303
PI 576393,HN,2,24,12,9.93,5.3,NA,2117
PI 552856,HN,2,24,16,10,5.3,10,2157
PI 534009,HN,2,35,16,10,10.5,9.4,2336
PI 534167,HN,2,35,3,10.1,5.6,NA,2206
PI 533938,HN,2,32,12,10.1,9.4,6.9,2299
PI 655995,HN,2,38,10,10.2,8.2,7.3,2273
PI 533949,HN,2,37,12,10.2,7.4,4.8,2294
PI 656096,HN,2,22,3,10.3,4.2,NA,2029
PI 533986,HN,2,27,4,10.3,NA,NA,2034
PI 533839,HN,2,29,6,10.3,2.8,3.3,2052
PI 656041,HN,2,22,12,10.38,9.62,NA,2119
PI 655985,HN,2,36,18,10.4,16.9,5.3,2355
PI 597964,HN,2,29,4,10.6,5.8,NA,2032
PI 566819,HN,2,21,4,10.6,5.3,NA,2040
PI 656084,HN,2,28,15,10.6,6.4,7.3,2143
PI 656008,HN,2,21,2,10.7,8.8,NA,2020
PI 533985,HN,2,24,8,10.7,6.5,12,2077
PI 533961,HN,2,21,16,10.7,12.3,6.2,2160
PI 533965,HN,2,34,14,10.7,10.4,NA,2317
PI 656117,HN,2,26,4,10.8,7.2,6.4,2035
PI 656049,HN,2,29,15,10.8,5.9,8.3,2142
PI 533936,HN,2,32,15,10.8,6.4,6.2,2329
PI 533754,HN,2,35,9,10.9,12.3,6.2,2266
PI 656091,HN,2,33,12,10.9,6.2,5.6,2298
PI 597973,HN,2,35,13,10.9,8.2,5.6,2306
PI 597951,HN,2,32,14,10.9,15.5,NA,2319
PI 533948,HN,2,36,16,10.9,10.5,6.1,2335
PI 533957,HN,2,23,14,11,10.9,7.3,2138
PI 655986,HN,2,35,18,11.1,12.6,7.9,2356
PI 564163,HN,2,30,18,11.2,10.8,11.2,2171
PI 656062,HN,2,40,15,11.2,NA,NA,2321
PI 651496,HN,2,34,16,11.2,11.3,9.3,2337
PI 655977,HN,2,29,14,11.3,7.6,9,2132
PI 656043,HN,2,27,15,11.4,7.5,6.6,2144
PI 276837,HN,2,22,7,11.6,11.4,7.9,2069
PI 576373,HN,2,31,12,11.6,5.6,9.1,2300
PI 653617,HN,2,38,15,11.6,9.9,11.2,2323
PI 656073,HN,2,23,2,11.7,12.3,NA,2018
PI 597957,HN,2,29,18,11.7,8.6,12,2172
PI 533962,HN,2,31,15,11.7,11.2,5.9,2330
PI 656026,HN,2,33,1,11.9,NA,NA,2188
PI 533902,HN,2,31,8,12,6.1,3.6,2260
PI 576347,HN,2,33,17,12.1,19,6.8,2348
PI 656107,HN,2,27,16,12.2,NA,NA,2154
PI 656015,HN,2,22,17,12.2,8.8,NA,2169
PI 656110,HN,2,30,1,12.3,7.5,NA,2001
PI 564165,HN,2,21,9,12.3,9.8,10.1,2090
PI 656033,HN,2,30,16,12.7,9.4,3.7,2151
PI 656025,HN,2,23,7,12.9,5.1,6.3,2068
PI 533980,HN,2,21,18,12.9,2.5,NA,2180
PI 533821,HN,2,35,4,12.9,19.8,NA,2216
PI 655979,HN,2,34,11,12.9,5.1,3.6,2287
PI 533785,HN,2,33,15,12.9,9.9,11.2,2328
PI 656010,HN,2,34,15,13.1,13.5,6.8,2327
PI 659753,HN,2,30,17,13.2,9.9,5.8,2161
PI 533792,HN,2,22,2,13.5,5.85,4.2,2019
PI 533871,HN,2,31,1,13.6,6.3,NA,2190
PI 656056,HN,2,37,15,14,NA,NA,2324
PI 629040,HN,2,32,8,14.1,1.9,4.6,2259
PI 656018,HN,2,32,13,14.1,6.8,7.8,2309
PI 533799,HN,2,39,4,14.2,NA,NA,2212
PI 597952,HN,2,35,17,16.4,5.7,12,2346
PI 564163,HN,2,33,18,16.6,11.1,16.4,2358
PI 655998,HN,2,35,14,16.9,6.2,7.2,2316
PI 595739,HN,2,22,13,17.2,7.2,13.1,2129
PI 576380,HN,2,32,17,17.9,6.8,21.8,2349
PI 534105,HN,2,34,18,19.2,12.6,6.8,2357
PI 533761,HN,2,37,17,19.7,11.2,NA,2344
PI 533841,HN,2,31,18,21.1,4.9,NA,2360
PI 534157,HN,2,28,14,21.3,13.5,NA,2133
PI 564164,HN,2,35,15,23.1,16.7,NA,2326
PI 533972,HN,2,32,16,24,9.8,5.8,2339
PI 534128,HN,2,37,18,25.9,NA,NA,2354