sample	PI	Race	cutoff	Abs_genetic_load
PI152651_PI152651	PI152651	Kafir	5%	365556.9035852
PI17548_PI17548	PI17548	Durra	5%	366659.0660352
PI24969_PI24969	PI24969	Bicolor	5%	482736.6666505
PI276837_PI276837	PI276837	Milo/Durra-Bicolor	5%	442309.9561848
PI329435_PI329435	PI329435	Milo/Durra-Bicolor	5%	309987.4436355
PI329440_PI329440	PI329440	Durra	5%	408129.4613182
PI34911_PI34911	PI34911	Guinea	5%	379607.8377671
PI35038_PI35038	PI35038	Durra	5%	332489.6932852
PI48770_PI48770	PI48770	Durra	5%	332358.8513092
PI533750_PI533750	PI533750	Bicolor	5%	359179.5544574
PI533752_PI533752	PI533752	Guinea	5%	358133.563499
PI533754_PI533754	PI533754	Bicolor	5%	330483.2652776
PI533755_PI533755	PI533755	Kafir	5%	379506.4029244
PI533757_PI533757	PI533757	Guinea	5%	293774.127739
PI533758_PI533758	PI533758	Guinea	5%	281853.6029313
PI533759_PI533759	PI533759	Guinea	5%	309436.3463078
PI533760_PI533760	PI533760	Guinea	5%	339457.2805135
PI533761_PI533761	PI533761	Guinea	5%	289427.2704806
PI533762_PI533762	PI533762	Guinea	5%	336934.4948017
PI533766_PI533766	PI533766	Caudatum	5%	305454.8794703
PI533769_PI533769	PI533769	Guinea	5%	253457.098801
PI533776_PI533776	PI533776	Caudatum	5%	337902.0135077
PI533785_PI533785	PI533785	Caudatum	5%	318752.8269318
PI533788_PI533788	PI533788	Bicolor	5%	410899.9302864
PI533789_PI533789	PI533789	Guinea	5%	309140.7272095
PI533792_PI533792	PI533792	Caudatum	5%	397861.3319019
PI533794_PI533794	PI533794	Milo/Durra-Bicolor	5%	349503.0694944
PI533799_PI533799	PI533799	Milo/Durra-Bicolor	5%	348622.4054476
PI533800_PI533800	PI533800	Milo/Durra-Bicolor	5%	344876.3297363
PI533807_PI533807	PI533807	Guinea	5%	290268.2203705
PI533810_PI533810	PI533810	Bicolor	5%	382712.1404476
PI533814_PI533814	PI533814	Bicolor	5%	381885.0526994
PI533821_PI533821	PI533821	Guinea	5%	261484.6782567
PI533822_PI533822	PI533822	Guinea	5%	330826.8943219
PI533824_PI533824	PI533824	Bicolor	5%	298752.3654432
PI533830_PI533830	PI533830	Bicolor	5%	368639.1947697
PI533831_PI533831	PI533831	Guinea	5%	318829.3906013
PI533833_PI533833	PI533833	Guinea	5%	247992.2432531
PI533838_PI533838	PI533838	Guinea	5%	307307.9170737
PI533839_PI533839	PI533839	Caudatum	5%	137766.3414736
PI533841_PI533841	PI533841	Caudatum	5%	369123.3195726
PI533842_PI533842	PI533842	Bicolor	5%	333689.995535
PI533843_PI533843	PI533843	Bicolor	5%	331179.4095197
PI533845_PI533845	PI533845	Caudatum	5%	364141.3354788
PI533852_PI533852	PI533852	Bicolor	5%	330442.3749567
PI533855_PI533855	PI533855	Caudatum	5%	307777.296825
PI533856_PI533856	PI533856	Bicolor	5%	403357.9655275
PI533863_PI533863	PI533863	Guinea	5%	322458.2715006
PI533866_PI533866	PI533866	Caudatum	5%	348960.3465248
PI533869_PI533869	PI533869	Durra	5%	308525.4958121
PI533871_PI533871	PI533871	Caudatum	5%	305441.1833404
PI533876_PI533876	PI533876	Guinea	5%	310155.6533915
PI533877_PI533877	PI533877	Caudatum	5%	318774.2820587
PI533878_PI533878	PI533878	Caudatum	5%	323749.6883973
PI533882_PI533882	PI533882	Caudatum	5%	298474.7063861
PI533901_PI533901	PI533901	Guinea	5%	337845.4130752
PI533902_PI533902	PI533902	Durra	5%	350009.9108447
PI533903_PI533903	PI533903	Caudatum	5%	244453.8229174
PI533910_PI533910	PI533910	Guinea	5%	293076.5783353
PI533911_PI533911	PI533911	Guinea	5%	407356.9628772
PI533912_PI533912	PI533912	Guinea	5%	270455.5345871
PI533913_PI533913	PI533913	Guinea	5%	298320.1976189
PI533915_PI533915	PI533915	Kafir	5%	354964.6883123
PI533919_PI533919	PI533919	Bicolor	5%	306805.0781906
PI533921_PI533921	PI533921	Bicolor	5%	469944.8781277
PI533924_PI533924	PI533924	Caudatum	5%	318472.4163487
PI533927_PI533927	PI533927	Caudatum	5%	330199.7996268
PI533936_PI533936	PI533936	Durra	5%	328347.4994981
PI533937_PI533937	PI533937	Durra	5%	334616.4939227
PI533938_PI533938	PI533938	Durra	5%	319033.073381
PI533939_PI533939	PI533939	Guinea	5%	339873.1638147
PI533940_PI533940	PI533940	Durra	5%	351804.495182
PI533943_PI533943	PI533943	Bicolor	5%	385055.3451296
PI533948_PI533948	PI533948	Durra	5%	341543.7717163
PI533949_PI533949	PI533949	Guinea	5%	295685.8435487
PI533954_PI533954	PI533954	Durra	5%	386512.583845
PI533955_PI533955	PI533955	Durra	5%	341052.7672785
PI533956_PI533956	PI533956	Durra	5%	312498.083835
PI533957_PI533957	PI533957	Caudatum	5%	361462.9641319
PI533961_PI533961	PI533961	Guinea	5%	348101.4480395
PI533962_PI533962	PI533962	Guinea	5%	286242.1575248
PI533964_PI533964	PI533964	Guinea	5%	338592.183497
PI533965_PI533965	PI533965	Guinea	5%	375208.4686258
PI533967_PI533967	PI533967	Guinea	5%	353796.9045769
PI533970_PI533970	PI533970	Guinea	5%	355987.784775
PI533972_PI533972	PI533972	Guinea	5%	272633.6824279
PI533976_PI533976	PI533976	Guinea	5%	324576.9212889
PI533979_PI533979	PI533979	Durra	5%	398198.0956021
PI533980_PI533980	PI533980	Guinea	5%	322446.6640979
PI533985_PI533985	PI533985	Guinea	5%	286073.7480427
PI533986_PI533986	PI533986	Guinea	5%	300656.7793073
PI533987_PI533987	PI533987	Guinea	5%	285965.1868774
PI533989_PI533989	PI533989	Guinea	5%	313230.2666546
PI533991_PI533991	PI533991	Milo/Durra-Bicolor	5%	304269.8517814
PI533996_PI533996	PI533996	Guinea	5%	294567.299482
PI533997_PI533997	PI533997	Durra	5%	269568.5057155
PI534009_PI534009	PI534009	Bicolor	5%	364859.9592943
PI534021_PI534021	PI534021	Bicolor	5%	334884.7754319
PI534028_PI534028	PI534028	Bicolor	5%	382763.5146121
PI534037_PI534037	PI534037	Caudatum	5%	333558.4456459
PI534046_PI534046	PI534046	Guinea	5%	310068.4271691
PI534047_PI534047	PI534047	Guinea	5%	316663.9107548
PI534053_PI534053	PI534053	Kafir	5%	341331.9797668
PI534054_PI534054	PI534054	Durra	5%	291038.461922
PI534063_PI534063	PI534063	Caudatum	5%	330034.1188231
PI534070_PI534070	PI534070	Caudatum	5%	333906.391794
PI534075_PI534075	PI534075	Caudatum	5%	301078.2250595
PI534079_PI534079	PI534079	Guinea	5%	290477.839475
PI534088_PI534088	PI534088	Caudatum	5%	308940.616996
PI534092_PI534092	PI534092	Caudatum	5%	350032.3931842
PI534096_PI534096	PI534096	Caudatum	5%	103418.1641072
PI534097_PI534097	PI534097	Durra	5%	428435.6824152
PI534099_PI534099	PI534099	Guinea	5%	322197.5346723
PI534101_PI534101	PI534101	Guinea	5%	300912.8798141
PI534105_PI534105	PI534105	Guinea	5%	297162.4465615
PI534108_PI534108	PI534108	Guinea	5%	287033.246579
PI534112_PI534112	PI534112	Guinea	5%	293125.8142955
PI534114_PI534114	PI534114	Guinea	5%	329546.3601561
PI534115_PI534115	PI534115	Milo/Durra-Bicolor	5%	335974.2893895
PI534116_PI534116	PI534116	Caudatum	5%	257186.5425718
PI534117_PI534117	PI534117	Caudatum	5%	278684.9900756
PI534123_PI534123	PI534123	Bicolor	5%	309050.9987939
PI534124_PI534124	PI534124	Caudatum	5%	270841.5185567
PI534127_PI534127	PI534127	Bicolor	5%	422103.9361149
PI534128_PI534128	PI534128	Bicolor	5%	432359.0414158
PI534132_PI534132	PI534132	Bicolor	5%	379297.6857711
PI534133_PI534133	PI534133	Bicolor	5%	416651.6357834
PI534135_PI534135	PI534135	Bicolor	5%	373482.7486262
PI534137_PI534137	PI534137	Bicolor	5%	381037.2856205
PI534138_PI534138	PI534138	Guinea	5%	245350.2746008
PI534139_PI534139	PI534139	Kafir	5%	415759.9125708
PI534144_PI534144	PI534144	Caudatum	5%	355933.9079437
PI534145_PI534145	PI534145	Caudatum	5%	284209.9183273
PI534148_PI534148	PI534148	Bicolor	5%	352797.2325682
PI534155_PI534155	PI534155	Bicolor	5%	310039.8938797
PI534157_PI534157	PI534157	Milo/Durra-Bicolor	5%	372004.8314118
PI534163_PI534163	PI534163	Guinea	5%	335948.8898221
PI534167_PI534167	PI534167	Bicolor	5%	360447.9090849
PI540816_PI540816	PI540816	Kafir	5%	394357.2338432
PI542406_PI542406	PI542406	Guinea	5%	271135.0410953
PI542718_PI542718	PI542718	Bicolor	5%	432505.9715177
PI548797_PI548797	PI548797	Guinea	5%	359820.0455687
PI552856_PI552856	PI552856	Milo/Durra-Bicolor	5%	335369.3694663
PI552861_PI552861	PI552861	Durra	5%	297824.4149832
PI561071_PI561071	PI561071	Kafir	5%	394270.5192908
PI561072_PI561072	PI561072	Durra	5%	364384.9216605
PI561073_PI561073	PI561073	Durra	5%	426232.9401842
PI561472_PI561472	PI561472	Milo/Durra-Bicolor	5%	438820.263674
PI562730_PI562730	PI562730	Bicolor	5%	299233.8068885
PI564163_PI564163	PI564163	Durra	5%	285430.2864851
PI564164_PI564164	PI564164	Bicolor	5%	413696.3208964
PI564165_PI564165	PI564165	Milo/Durra-Bicolor	5%	438755.9550877
PI565121_PI565121	PI565121	Milo/Durra-Bicolor	5%	293336.677534
PI566819_PI566819	PI566819	Durra	5%	328362.7382837
PI576130_PI576130	PI576130	Milo/Durra-Bicolor	5%	386015.0516731
PI576332_PI576332	PI576332	Durra	5%	385263.5273021
PI576333_PI576333	PI576333	Durra	5%	335347.2670142
PI576337_PI576337	PI576337	Durra	5%	295875.0157795
PI576339_PI576339	PI576339	Durra	5%	337289.9177367
PI576340_PI576340	PI576340	Durra	5%	333404.9286783
PI576345_PI576345	PI576345	Durra	5%	277408.8220457
PI576347_PI576347	PI576347	Bicolor	5%	308734.6942623
PI576348_PI576348	PI576348	Bicolor	5%	198685.2442257
PI576349_PI576349	PI576349	Bicolor	5%	227343.3087826
PI576350_PI576350	PI576350	Guinea	5%	273443.2362341
PI576352_PI576352	PI576352	Durra	5%	334557.5632377
PI576359_PI576359	PI576359	Bicolor	5%	353008.4218557
PI576364_PI576364	PI576364	Durra	5%	349107.1923052
PI576366_PI576366	PI576366	Guinea	5%	303397.9258447
PI576373_PI576373	PI576373	Durra	5%	284443.7980159
PI576375_PI576375	PI576375	Bicolor	5%	373169.3891695
PI576376_PI576376	PI576376	Bicolor	5%	378958.4440309
PI576380_PI576380	PI576380	Milo/Durra-Bicolor	5%	335044.2568562
PI576381_PI576381	PI576381	Bicolor	5%	405381.6312572
PI576385_PI576385	PI576385	Caudatum	5%	359383.6659735
PI576386_PI576386	PI576386	Guinea	5%	288324.2217462
PI576387_PI576387	PI576387	Guinea	5%	289715.8094058
PI576390_PI576390	PI576390	Bicolor	5%	401825.2176877
PI576391_PI576391	PI576391	Bicolor	5%	405448.4839615
PI576393_PI576393	PI576393	Guinea	5%	279894.1094162
PI576394_PI576394	PI576394	Durra	5%	411492.9707
PI576396_PI576396	PI576396	Guinea	5%	289480.5861521
PI576399_PI576399	PI576399	Guinea	5%	301182.9180067
PI576401_PI576401	PI576401	Bicolor	5%	428610.6981463
PI576418_PI576418	PI576418	Caudatum	5%	303302.1223021
PI576422_PI576422	PI576422	Durra	5%	334090.3134894
PI576425_PI576425	PI576425	Bicolor	5%	368328.1442631
PI576426_PI576426	PI576426	Bicolor	5%	300095.1372032
PI576428_PI576428	PI576428	Milo/Durra-Bicolor	5%	377218.6018337
PI576434_PI576434	PI576434	Guinea	5%	306268.3125848
PI576435_PI576435	PI576435	Guinea	5%	394108.4307789
PI576437_PI576437	PI576437	Guinea	5%	338276.9395516
PI585291_PI585291	PI585291	Milo/Durra-Bicolor	5%	438511.201864
PI585295_PI585295	PI585295	Caudatum	5%	309019.4212454
PI595699_PI595699	PI595699	Bicolor	5%	325078.4199562
PI595702_PI595702	PI595702	Durra	5%	336152.7697922
PI595714_PI595714	PI595714	Guinea	5%	375240.0785217
PI595718_PI595718	PI595718	Guinea	5%	332806.8663603
PI595720_PI595720	PI595720	Bicolor	5%	356146.6919119
PI595739_PI595739	PI595739	Guinea	5%	281714.5521639
PI595740_PI595740	PI595740	Guinea	5%	367570.5788496
PI595741_PI595741	PI595741	Caudatum	5%	389944.2961939
PI595743_PI595743	PI595743	Caudatum	5%	389239.6732071
PI595744_PI595744	PI595744	Kafir	5%	269713.5240434
PI595745_PI595745	PI595745	Guinea	5%	261152.7262757
PI597945_PI597945	PI597945	Bicolor	5%	389730.4655041
PI597946_PI597946	PI597946	Guinea	5%	354401.3627399
PI597949_PI597949	PI597949	Durra	5%	336472.655118
PI597950_PI597950	PI597950	Guinea	5%	257728.2294444
PI597951_PI597951	PI597951	Caudatum	5%	401407.7323797
PI597952_PI597952	PI597952	Bicolor	5%	386432.8434527
PI597957_PI597957	PI597957	Bicolor	5%	340754.1949006
PI597958_PI597958	PI597958	Durra	5%	365289.4065592
PI597960_PI597960	PI597960	Caudatum	5%	247530.1926294
PI597961_PI597961	PI597961	Guinea	5%	287145.16253
PI597964_PI597964	PI597964	Milo/Durra-Bicolor	5%	309570.6820013
PI597965_PI597965	PI597965	Guinea	5%	311493.5479266
PI597966_PI597966	PI597966	Guinea	5%	349638.519946
PI597967_PI597967	PI597967	Milo/Durra-Bicolor	5%	310436.9803077
PI597968_PI597968	PI597968	Guinea	5%	358108.5047393
PI597971_PI597971	PI597971	Guinea	5%	286275.6347531
PI597972_PI597972	PI597972	Bicolor	5%	293383.524851
PI597973_PI597973	PI597973	Bicolor	5%	284394.9029965
PI597976_PI597976	PI597976	Caudatum	5%	297986.7040955
PI597980_PI597980	PI597980	Guinea	5%	279301.0085202
PI597982_PI597982	PI597982	Guinea	5%	271277.9265467
PI598069_PI598069	PI598069	Bicolor	5%	380657.5129275
PI598070_PI598070	PI598070	Bicolor	5%	371645.9394974
PI601816_PI601816	PI601816	Milo/Durra-Bicolor	5%	302748.3381256
PI607931_PI607931	PI607931	Guinea	5%	289178.477375
PI609456_PI609456	PI609456	Caudatum	5%	101591.4650631
PI613536_PI613536	PI613536	Bicolor	5%	296772.0574849
PI629034_PI629034	PI629034	Guinea	5%	306717.7894237
PI629040_PI629040	PI629040	Bicolor	5%	491231.2518089
PI629059_PI629059	PI629059	Durra	5%	299988.895508
PI641824_PI641824	PI641824	Durra	5%	397787.4416685
PI641836_PI641836	PI641836	Durra	5%	335182.7436751
PI641849_PI641849	PI641849	Durra	5%	454271.212538
PI641874_PI641874	PI641874	Bicolor	5%	540267.2658383
PI642791_PI642791	PI642791	Milo/Durra-Bicolor	5%	376083.9047422
PI642793_PI642793	PI642793	Durra	5%	341301.457193
PI642992_PI642992	PI642992	Guinea	5%	383873.6418382
PI642998_PI642998	PI642998	Bicolor	5%	313170.5005021
PI651492_PI651492	PI651492	Milo/Durra-Bicolor	5%	387523.1409702
PI651496_PI651496	PI651496	Guinea	5%	299715.8051237
PI653616_PI653616	PI653616	Guinea	5%	334759.0448925
PI653617_PI653617	PI653617	Guinea	5%	303578.8051809
PI655970_PI655970	PI655970	Durra	5%	342638.7577276
PI655971_PI655971	PI655971	Bicolor	5%	492234.933263
PI655972_PI655972	PI655972	Durra	5%	337844.0254646
PI655973_PI655973	PI655973	Kafir	5%	369226.1804421
PI655974_PI655974	PI655974	Durra	5%	337894.5924439
PI655975_PI655975	PI655975	Durra	5%	395352.6378076
PI655976_PI655976	PI655976	Durra	5%	338445.0578574
PI655977_PI655977	PI655977	Milo/Durra-Bicolor	5%	347712.771275
PI655978_PI655978	PI655978	Caudatum	5%	451435.070307
PI655979_PI655979	PI655979	Caudatum	5%	377300.4622663
PI655980_PI655980	PI655980	Bicolor	5%	316411.156141
PI655981_PI655981	PI655981	Caudatum	5%	375486.2705113
PI655982_PI655982	PI655982	Durra	5%	295838.1824524
PI655983_PI655983	PI655983	Durra	5%	336444.4634006
PI655984_PI655984	PI655984	Kafir	5%	449892.9673725
PI655985_PI655985	PI655985	Durra	5%	394454.9067075
PI655986_PI655986	PI655986	Bicolor	5%	393259.3076305
PI655987_PI655987	PI655987	Durra	5%	328821.0585712
PI655988_PI655988	PI655988	Durra	5%	346347.5882025
PI655989_PI655989	PI655989	Durra	5%	325160.3065842
PI655990_PI655990	PI655990	Bicolor	5%	497400.8524268
PI655991_PI655991	PI655991	Durra	5%	376310.2078077
PI655992_PI655992	PI655992	Durra	5%	331940.0730603
PI655993_PI655993	PI655993	Durra	5%	386971.7140311
PI655994_PI655994	PI655994	Durra	5%	361641.3084473
PI655995_PI655995	PI655995	Bicolor	5%	331520.7393574
PI655996_PI655996	PI655996	Caudatum	5%	442002.9544486
PI655997_PI655997	PI655997	Bicolor	5%	473905.3782559
PI655998_PI655998	PI655998	Caudatum	5%	352484.4013402
PI655999_PI655999	PI655999	Bicolor	5%	279546.9972189
PI656000_PI656000	PI656000	Milo/Durra-Bicolor	5%	288900.3746237
PI656001_PI656001	PI656001	Milo/Durra-Bicolor	5%	288039.8261819
PI656002_PI656002	PI656002	Durra	5%	331746.4159653
PI656003_PI656003	PI656003	Durra	5%	389905.5537864
PI656004_PI656004	PI656004	Caudatum	5%	467172.6111477
PI656005_PI656005	PI656005	Durra	5%	355223.583879701
PI656006_PI656006	PI656006	Durra	5%	385406.0294933
PI656007_PI656007	PI656007	Durra	5%	292108.8784612
PI656008_PI656008	PI656008	Milo/Durra-Bicolor	5%	374667.554647
PI656009_PI656009	PI656009	Guinea	5%	289897.2108555
PI656010_PI656010	PI656010	Caudatum	5%	420517.2771996
PI656011_PI656011	PI656011	Milo/Durra-Bicolor	5%	390510.0478646
PI656012_PI656012	PI656012	Bicolor	5%	472688.4841285
PI656013_PI656013	PI656013	Bicolor	5%	402994.6302978
PI656014_PI656014	PI656014	Caudatum	5%	344400.8940483
PI656015_PI656015	PI656015	Kafir	5%	371457.7808954
PI656016_PI656016	PI656016	Milo/Durra-Bicolor	5%	374960.1167488
PI656017_PI656017	PI656017	Bicolor	5%	494182.4690142
PI656018_PI656018	PI656018	Durra	5%	442455.4986908
PI656019_PI656019	PI656019	Durra	5%	368948.0892628
PI656020_PI656020	PI656020	Durra	5%	365335.5508045
PI656021_PI656021	PI656021	Bicolor	5%	476994.3347312
PI656022_PI656022	PI656022	Durra	5%	336190.7408828
PI656023_PI656023	PI656023	Durra	5%	333245.6037546
PI656024_PI656024	PI656024	Milo/Durra-Bicolor	5%	342755.5853255
PI656025_PI656025	PI656025	Bicolor	5%	427796.0759814
PI656026_PI656026	PI656026	Milo/Durra-Bicolor	5%	331735.7316331
PI656027_PI656027	PI656027	Guinea	5%	333782.1133521
PI656028_PI656028	PI656028	Durra	5%	326640.773698
PI656029_PI656029	PI656029	Bicolor	5%	325563.0226059
PI656031_PI656031	PI656031	Guinea	5%	277520.8306769
PI656032_PI656032	PI656032	Caudatum	5%	389730.1571801
PI656033_PI656033	PI656033	Bicolor	5%	491682.7555025
PI656034_PI656034	PI656034	Milo/Durra-Bicolor	5%	348685.454938
PI656035_PI656035	PI656035	Guinea	5%	315984.0256276
PI656036_PI656036	PI656036	Milo/Durra-Bicolor	5%	395058.7948267
PI656037_PI656037	PI656037	Milo/Durra-Bicolor	5%	347519.4178925
PI656038_PI656038	PI656038	Durra	5%	332769.1764637
PI656039_PI656039	PI656039	Milo/Durra-Bicolor	5%	341613.7199421
PI656040_PI656040	PI656040	Caudatum	5%	419304.7250695
PI656041_PI656041	PI656041	Bicolor	5%	494231.0514735
PI656042_PI656042	PI656042	Durra	5%	438544.8760619
PI656043_PI656043	PI656043	Milo/Durra-Bicolor	5%	383416.785377
PI656044_PI656044	PI656044	Milo/Durra-Bicolor	5%	330615.1789431
PI656046_PI656046	PI656046	Bicolor	5%	399627.8413491
PI656047_PI656047	PI656047	Bicolor	5%	398507.5534876
PI656048_PI656048	PI656048	Milo/Durra-Bicolor	5%	284847.683361
PI656049_PI656049	PI656049	Durra	5%	322231.769992
PI656050_PI656050	PI656050	Guinea	5%	302574.3601597
PI656051_PI656051	PI656051	Milo/Durra-Bicolor	5%	376089.2075985
PI656052_PI656052	PI656052	Durra	5%	413615.8893737
PI656053_PI656053	PI656053	Milo/Durra-Bicolor	5%	337844.8198642
PI656054_PI656054	PI656054	Caudatum	5%	358256.241264
PI656055_PI656055	PI656055	Milo/Durra-Bicolor	5%	429624.7708839
PI656056_PI656056	PI656056	Milo/Durra-Bicolor	5%	389043.1897558
PI656057_PI656057	PI656057	Guinea	5%	369855.0603822
PI656058_PI656058	PI656058	Durra	5%	339448.1441361
PI656059_PI656059	PI656059	Milo/Durra-Bicolor	5%	285409.2559563
PI656060_PI656060	PI656060	Durra	5%	334035.7777879
PI656061_PI656061	PI656061	Durra	5%	300527.1424173
PI656062_PI656062	PI656062	Milo/Durra-Bicolor	5%	390539.9773535
PI656063_PI656063	PI656063	Durra	5%	297216.7785571
PI656064_PI656064	PI656064	Bicolor	5%	451882.7654427
PI656065_PI656065	PI656065	Kafir	5%	371652.2130112
PI656066_PI656066	PI656066	Bicolor	5%	376758.8584848
PI656067_PI656067	PI656067	Bicolor	5%	394739.4406905
PI656068_PI656068	PI656068	Milo/Durra-Bicolor	5%	383576.653587
PI656069_PI656069	PI656069	Guinea	5%	279590.350908
PI656070_PI656070	PI656070	Guinea	5%	298917.9435563
PI656071_PI656071	PI656071	Guinea	5%	323863.3017786
PI656072_PI656072	PI656072	Bicolor	5%	431471.7913481
PI656073_PI656073	PI656073	Kafir	5%	379798.609734
PI656074_PI656074	PI656074	Kafir	5%	308130.9299957
PI656075_PI656075	PI656075	Guinea	5%	304991.0844778
PI656076_PI656076	PI656076	Milo/Durra-Bicolor	5%	379274.9876662
PI656077_PI656077	PI656077	Bicolor	5%	333855.6851002
PI656078_PI656078	PI656078	Caudatum	5%	101627.8876902
PI656079_PI656079	PI656079	Caudatum	5%	320037.3907416
PI656080_PI656080	PI656080	Durra	5%	295510.626523
PI656081_PI656081	PI656081	Caudatum	5%	87051.4857645
PI656082_PI656082	PI656082	Bicolor	5%	419279.3126166
PI656083_PI656083	PI656083	Caudatum	5%	354936.8061894
PI656085_PI656085	PI656085	Guinea	5%	301899.1911203
PI656086_PI656086	PI656086	Bicolor	5%	334828.6298872
PI656087_PI656087	PI656087	Guinea	5%	288774.6245531
PI656088_PI656088	PI656088	Bicolor	5%	400284.61464
PI656089_PI656089	PI656089	Bicolor	5%	397458.2481228
PI656090_PI656090	PI656090	Guinea	5%	287658.5574787
PI656091_PI656091	PI656091	Bicolor	5%	409847.8063816
PI656092_PI656092	PI656092	Bicolor	5%	377461.0070816
PI656093_PI656093	PI656093	Caudatum	5%	284040.0418001
PI656094_PI656094	PI656094	Caudatum	5%	288239.032434
PI656095_PI656095	PI656095	Caudatum	5%	333581.9721641
PI656096_PI656096	PI656096	Caudatum	5%	289577.3936147
PI656097_PI656097	PI656097	Bicolor	5%	355659.9989162
PI656098_PI656098	PI656098	Guinea	5%	253403.9088001
PI656099_PI656099	PI656099	Bicolor	5%	386631.7876092
PI656100_PI656100	PI656100	Bicolor	5%	427534.3145296
PI656101_PI656101	PI656101	Kafir	5%	375628.9666987
PI656102_PI656102	PI656102	Guinea	5%	256142.2926946
PI656103_PI656103	PI656103	Bicolor	5%	354543.6729025
PI656104_PI656104	PI656104	Caudatum	5%	391968.6288619
PI656105_PI656105	PI656105	Guinea	5%	287273.6269314
PI656106_PI656106	PI656106	Guinea	5%	278220.8802932
PI656107_PI656107	PI656107	Kafir	5%	374785.2349268
PI656108_PI656108	PI656108	Bicolor	5%	313970.7586801
PI656109_PI656109	PI656109	Kafir	5%	352010.0371165
PI656110_PI656110	PI656110	Bicolor	5%	344564.6101465
PI656111_PI656111	PI656111	Guinea	5%	281188.869115
PI656112_PI656112	PI656112	Durra	5%	324560.8190158
PI656113_PI656113	PI656113	Bicolor	5%	366326.7833693
PI656114_PI656114	PI656114	Bicolor	5%	321826.1128268
PI656115_PI656115	PI656115	Kafir	5%	432761.585945501
PI656116_PI656116	PI656116	Guinea	5%	307549.928489
PI656118_PI656118	PI656118	Guinea	5%	285336.3828653
PI656119_PI656119	PI656119	Caudatum	5%	317067.9917021
PI656120_PI656120	PI656120	Guinea	5%	366348.2599308
PI656121_PI656121	PI656121	Guinea	5%	311624.605496
PI659691_PI659691	PI659691	Milo/Durra-Bicolor	5%	328932.3106083
PI659694_PI659694	PI659694	Guinea	5%	420375.0933185
PI659695_PI659695	PI659695	Bicolor	5%	344334.358758
PI659696_PI659696	PI659696	Guinea	5%	344765.8777592
PI659753_PI659753	PI659753	Bicolor	5%	411070.6917552
